0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-4.673504,-3.4843402,-6.170454,5.228992,0.5151672,-4.27683,-2.35321,0.17613918,-4.893206,3.4805682,0.4223094,4.7572603,-2.2356625,-1.612395,-3.036333,-4.200682,3.0602276,3.220844,-7.9615746,-3.5786192,-3.4800289,-3.5691903,-3.8924184,1.3915639,2.7775345,-3.1634457,-3.029671,-5.9607873,3.0790849,-5.2802672,3.2600613,6.5798354,-3.295578,0.5174156,0.8809296,-1.2167367,-0.14155523,-3.3372452,-1.512102,3.8823307,-3.7663262,-1.3766855,3.6229737,-5.7572937,1.3145221,-3.789157,1.5323998,-0.041522525,1.5634528,-1.6679126
2.4376624,-3.271297,-3.6453786,-4.527864,2.6296115,7.07472,-0.6592513,-0.310332,-5.417015,3.7586517,-2.6784809,10.217653,3.108849,-3.8454628,-1.3633032,-5.7122717,4.1852455,3.2094798,-1.6550988,-1.6038344,-6.1949415,0.33506933,-6.467384,-7.302322,-4.733503,-2.290276,-8.4352665,-6.381662,3.3597088,3.822305,3.971083,5.157178,-10.482654,-4.1092668,7.0514083,2.5562563,4.3853846,-5.526616,6.2214804,2.3477054,-4.9573283,2.2559252,-4.4407716,-6.2757277,-0.19194496,5.6005,6.60079,-7.8643703,8.921932,-0.63443685
-1.6956123,-3.0277717,-3.262646,0.10496537,-3.2620728,-0.23983128,0.34931538,3.2569277,-0.06160483,2.8097444,0.8905933,0.4652286,-0.06985702,0.9713212,2.1184392,-5.4527793,-1.6320732,0.6669703,-2.33597,1.3828462,1.2545773,-0.3481405,-2.2407672,5.5796857,-2.829184,0.046086863,-1.8528955,-1.0209112,-2.1352618,-1.0246711,5.0712743,2.2324233,-1.6277707,1.2028766,-1.4980837,0.8149759,-0.47333118,0.43540236,-0.07499966,0.3533235,0.71256244,0.9887156,-0.04148842,-4.756543,1.929604,0.51153916,1.3811312,1.9121438,2.9868968,-0.12761313
-3.88016,7.2848105,3.480835,-4.167568,-7.0712776,1.5608461,0.9663126,4.1182,-4.0017653,-1.2524813,6.4544635,5.1579485,4.8355665,-3.4542649,1.7389148,-7.4303784,-1.6397303,-0.73991394,-6.660064,-4.7877164,-0.5056744,0.5060859,-0.707066,6.244232,1.1854016,3.5712392,3.3020713,-2.398512,-7.142121,-2.8431463,7.184443,2.3156416,-8.861953,-0.75675917,-2.2392633,3.4586957,4.826563,-2.7198107,6.301122,1.4900308,-6.4275675,5.403088,4.0565324,1.0872205,-0.062264413,5.0300555,1.6589488,-0.9926091,5.87253,1.526989
-3.886328,-2.6378489,-1.9020382,-1.9560747,-0.0031700928,-0.306769,-0.1933873,1.5373267,-1.43361,3.173718,0.6577569,3.8655376,-0.23964824,0.25097466,-2.1208386,1.3832785,3.944256,3.0917304,-1.9621178,2.17486,-3.821972,-1.0916883,-2.8815293,4.6817474,2.0091386,0.35083514,-1.2196934,-3.8482869,-1.4283441,-0.8129739,2.0543878,1.8606591,-2.1252286,-2.4085953,-1.9417585,3.6740923,0.8804961,-3.0670035,-2.6274974,1.0421647,-2.0130446,3.757406,-5.4436326,0.34442046,-0.2932386,2.4461448,-1.804974,0.0360911,4.613067,0.5525017
-3.853771,-3.4924576,-2.424762,-1.0949196,-2.2355475,0.34177032,0.9438549,4.7134743,-0.120902486,1.6298518,2.1068048,3.2105422,1.596406,-0.5890521,-0.11339646,0.2767003,4.116423,1.6997931,-1.1439834,1.8832917,-3.2170851,0.7313661,-2.521491,4.6644335,2.1640263,0.018321501,-4.416436,-3.3220153,-2.840486,-3.1417217,1.4851291,3.8949347,-2.4804866,-0.68707603,-2.8163517,3.6253228,0.36367357,-3.849933,-3.347267,1.750821,-1.8448805,3.4005132,-5.545837,0.596022,1.713494,2.207275,-2.8229427,-0.22516005,6.08686,-0.026556125
-2.8126464,-3.7781024,-2.8228505,-0.8570828,-1.5654004,0.2777866,0.2617223,3.421365,0.27180916,1.4608858,1.1078824,3.1628046,1.1211269,-0.7931959,-0.2904519,0.24302015,3.9294145,1.8395883,-0.76558596,1.4878019,-2.7778802,0.2628479,-2.028355,4.7099137,1.9715203,-0.293946,-4.183482,-3.3655016,-1.6965241,-2.9771674,1.3811954,3.875802,-2.3987246,-0.7867509,-2.0110137,2.7814994,0.039787,-3.7031243,-3.2618456,1.8886715,-1.808831,3.270101,-5.4102073,-0.29388458,0.33200425,1.6467152,-2.3085039,-0.6207584,4.898143,0.5705602
-3.750132,-2.634472,-2.0482621,-2.1244507,-1.0677238,-0.49891496,-0.0044375802,1.99849,-1.5220394,2.9251165,0.44776514,3.8721082,0.45843816,-0.3696398,-1.914854,0.7441651,4.0151987,2.6079774,-1.9075544,2.1094615,-2.8213658,-1.1351869,-2.7634976,4.420038,1.7096406,0.70891637,-1.1205635,-3.7248442,-1.6291348,-1.0465227,0.9544023,1.9408635,-2.2919276,-2.2198653,-2.3177316,4.112773,0.7942867,-2.99791,-2.6688635,0.7069135,-1.2574325,3.5255294,-5.4875994,0.60575354,0.081700966,2.6253698,-2.5177608,0.11534457,4.4212575,0.06550356
-1.5428681,-4.9495435,-1.4664917,-2.8297157,-1.0018077,-0.3942475,-1.5288343,0.3872092,-2.1665444,1.2593517,-0.6858683,1.2878938,1.0260803,3.5628383,-1.5442052,1.4889289,-0.32276678,0.6836397,-2.3548763,0.49197719,-1.5772934,0.099626884,0.5216739,3.423353,1.4062479,1.2261873,2.9018466,-0.64969283,-2.099105,0.7127914,2.9890785,3.6462514,-1.1147472,0.09354875,0.30740738,3.077519,0.39882946,-2.6702156,2.8426,2.4959466,-1.1708193,1.3988056,-1.9643307,-2.7861948,-1.4183948,0.10617557,1.9644011,-2.2260623,2.5911217,2.178084
3.868057,-4.533359,-0.75264794,-1.2430681,-1.2288576,1.1209219,1.2493515,0.037427608,-0.6642969,-0.2593814,1.7241421,2.5877314,-0.3860821,1.5346729,0.35144433,0.19077256,1.8355318,0.9241064,-2.4391572,-1.0957438,0.7083408,-2.434395,-0.052325517,3.8109694,-0.68910307,-0.32398728,-4.0155287,-2.6741602,-2.5146546,-0.25176167,2.7033036,4.8070025,-2.543641,-1.7446877,0.9037952,-1.1497971,-0.62528324,-3.3420126,0.6137025,3.424618,0.9154111,1.593205,1.5087624,-4.6787386,0.9087104,1.9090691,-1.4568233,-4.458005,0.2745662,1.0978757
